"","iso3_iu0","highest_ess_model"
"160","BFA05374","mansoni_low_burden"
"161","TZA46540","mansoni_low_burden"
"162","TZA46587","mansoni_high_burden"
"163","TZA46558","mansoni_high_burden"
"164","TZA46518","mansoni_low_burden"
"165","TZA46541","mansoni_low_burden"
"166","TZA46517","mansoni_high_burden"
"167","TZA46543","mansoni_low_burden"
"168","TZA46523","mansoni_low_burden"
"169","TZA46551","mansoni_low_burden"
"170","TZA46536","mansoni_high_burden"
"171","TZA46552","mansoni_low_burden"
"172","TZA46618","mansoni_high_burden"
"173","TZA46620","mansoni_high_burden"
"174","TZA46577","mansoni_high_burden"
"175","TZA46520","mansoni_low_burden"
"176","TZA46519","mansoni_high_burden"
"177","TZA46572","mansoni_low_burden"
"178","TZA46616","mansoni_low_burden"
"179","TZA46585","mansoni_low_burden"
"180","TZA46482","mansoni_high_burden"
"181","TZA46542","mansoni_high_burden"
"182","TZA46586","mansoni_high_burden"
"183","TZA46622","mansoni_high_burden"
"184","TZA46550","mansoni_high_burden"
"185","TZA46610","mansoni_low_burden"
"186","TZA46535","mansoni_low_burden"
"187","TZA46548","mansoni_high_burden"
"188","TZA46566","mansoni_high_burden"
"189","TZA46549","mansoni_low_burden"
"190","TZA46584","mansoni_low_burden"
"191","TZA46537","mansoni_low_burden"
"192","TZA46619","mansoni_low_burden"
"193","TZA46538","mansoni_high_burden"
"194","TZA46617","mansoni_high_burden"
"195","TZA46547","mansoni_low_burden"
"196","TZA46544","mansoni_low_burden"
"197","TZA46621","mansoni_high_burden"
"198","TZA46534","mansoni_high_burden"
"199","TZA46481","mansoni_high_burden"
"200","TZA46569","mansoni_low_burden"
"201","TZA46539","mansoni_low_burden"
"202","TZA46485","mansoni_high_burden"
"203","TZA46570","mansoni_low_burden"
"204","TZA46567","mansoni_low_burden"
"205","TZA46582","mansoni_low_burden"
"206","TZA46483","mansoni_high_burden"
"207","TZA46568","mansoni_low_burden"
"208","TZA46565","mansoni_low_burden"
"209","TZA46583","mansoni_high_burden"
"210","TZA46613","mansoni_high_burden"
"211","TZA46573","mansoni_low_burden"
"212","TZA46615","mansoni_low_burden"
"213","TZA46545","mansoni_high_burden"
"214","TZA46611","mansoni_low_burden"
"215","TZA46609","mansoni_high_burden"
"216","TZA46606","mansoni_low_burden"
"217","TZA46494","mansoni_high_burden"
"218","TZA46560","mansoni_high_burden"
"219","TZA46597","mansoni_high_burden"
"220","TZA46596","mansoni_high_burden"
"221","TZA46593","mansoni_high_burden"
"222","TZA46564","mansoni_low_burden"
"223","TZA46562","mansoni_high_burden"
"224","TZA46595","mansoni_high_burden"
"225","TZA46563","mansoni_high_burden"
"226","TZA46594","mansoni_high_burden"
"227","TZA46479","mansoni_low_burden"
"228","TZA46476","mansoni_high_burden"
"229","TZA46496","mansoni_high_burden"
"230","TZA46478","mansoni_high_burden"
"231","TZA46495","mansoni_high_burden"
"232","TZA46480","mansoni_high_burden"
"233","TZA46511","mansoni_high_burden"
"234","TZA46464","mansoni_low_burden"
"235","TZA46510","mansoni_low_burden"
"236","TZA46463","mansoni_low_burden"
"237","TZA46459","mansoni_high_burden"
"238","TZA46477","mansoni_high_burden"
"239","TZA46506","mansoni_high_burden"
"240","TZA46602","mansoni_low_burden"
"241","TZA46508","mansoni_high_burden"
"242","TZA46512","mansoni_high_burden"
"243","TZA46627","mansoni_high_burden"
"244","TZA46497","mansoni_high_burden"
"245","TZA46509","mansoni_low_burden"
"246","TZA46461","mansoni_low_burden"
"247","TZA46507","mansoni_low_burden"
"248","TZA46465","mansoni_low_burden"
"249","TZA46460","mansoni_low_burden"
"250","TZA46462","mansoni_low_burden"
"251","TZA46553","mansoni_high_burden"
"252","TZA46555","mansoni_low_burden"
