"Group_name","IU_ID","IU_ID2","CoverageGroup","Group"
"4210","15390","CIV15390"
"4279","15394","CIV15394"
"4282","15395","CIV15395"
"4425","15400","CIV15400"
"420","15412","CIV15412"
"421","15413","CIV15413"
"419","15414","CIV15414"
"2578","15418","CIV15418"
"416","15419","CIV15419"
"4556","15421","CIV15421"
"2575","15423","CIV15423"
"3990","15426","CIV15426"
"439","15428","CIV15428"
"422","15429","CIV15429"
"423","15430","CIV15430"
"2570","15431","CIV15431"
"2571","15432","CIV15432"
"426","15435","CIV15435"
"427","15436","CIV15436"
"2560","15439","CIV15439"
"396","15443","CIV15443"
"447","15444","CIV15444"
"428","15446","CIV15446"
"430","15448","CIV15448"
"431","15449","CIV15449"
"2577","15451","CIV15451"
"2576","15452","CIV15452"
"440","15460","CIV15460"
"434","15464","CIV15464"
"4232","13816","COD13816"
"4233","13819","COD13819"
"4479","13820","COD13820"
"4480","13822","COD13822"
"4698","13824","COD13824"
"4224","13826","COD13826"
"4481","13828","COD13828"
"4592","13830","COD13830"
"4448","13831","COD13831"
"4528","13832","COD13832"
"4861","13833","COD13833"
"4702","13834","COD13834"
"4862","13835","COD13835"
"4863","13838","COD13838"
"4225","13843","COD13843"
"4864","13844","COD13844"
"4709","13847","COD13847"
"4449","13848","COD13848"
"4712","13851","COD13851"
"4529","13861","COD13861"
"4720","13862","COD13862"
"4721","13864","COD13864"
"4722","13865","COD13865"
"4048","13869","COD13869"
"4124","13871","COD13871"
"4049","13873","COD13873"
"806","13874","COD13874"
"531","13879","COD13879"
"4052","13882","COD13882"
"4125","13884","COD13884"
"1317","13886","COD13886"
"4236","13890","COD13890"
"4055","13891","COD13891"
"4865","13895","COD13895"
"526","13896","COD13896"
"4126","13898","COD13898"
"4333","13899","COD13899"
"4318","13900","COD13900"
"4319","13902","COD13902"
"4296","13903","COD13903"
"4320","13904","COD13904"
"4284","13907","COD13907"
"4321","13909","COD13909"
"4322","13910","COD13910"
"4285","13911","COD13911"
"4286","13912","COD13912"
