"Group_name","IU_ID","IU_ID2","CoverageGroup","Group"
"4635","BEN03270","BEN03270","1"
"1486","BEN03273","BEN03273","1"
"4640","BEN03276","BEN03276","1"
"2067","BEN03277","BEN03277","1"
"4388","BEN03279","BEN03279","1"
"4636","BEN03281","BEN03281","1"
"4387","BEN03282","BEN03282","1"
"99","BFA05312","BFA05312","1"
"143","BFA05322","BFA05322","1"
"86","BFA05329","BFA05329","1"
"78","BFA05331","BFA05331","1"
"127","BFA05337","BFA05337","1"
"128","BFA05338","BFA05338","1"
"122","BFA05340","BFA05340","1"
"129","BFA05342","BFA05342","1"
"124","BFA05343","BFA05343","1"
"125","BFA05345","BFA05345","1"
"117","BFA05346","BFA05346","1"
"114","BFA05348","BFA05348","1"
"118","BFA05349","BFA05349","1"
"110","BFA05352","BFA05352","1"
"116","BFA05353","BFA05353","1"
"108","BFA05356","BFA05356","1"
"109","BFA05357","BFA05357","1"
"153","BFA05359","BFA05359","1"
"150","BFA05360","BFA05360","1"
"157","BFA05361","BFA05361","1"
"152","BFA05362","BFA05362","1"
"156","BFA05363","BFA05363","1"
"121","BFA05364","BFA05364","1"
"123","BFA05365","BFA05365","1"
"93","BFA05367","BFA05367","1"
"91","BFA05368","BFA05368","1"
"92","BFA05369","BFA05369","1"
"94","BFA05370","BFA05370","1"
"154","BFA05371","BFA05371","1"
"155","BFA05372","BFA05372","1"
"151","BFA05373","BFA05373","1"
"105","BFA53002","BFA53002","1"
"3946","BWA04291","BWA04291","1"
"2542","BWA04292","BWA04292","1"
"2543","BWA04293","BWA04293","1"
"2548","BWA04297","BWA04297","1"
"3948","BWA04299","BWA04299","1"
"3949","BWA04300","BWA04300","1"
"3950","BWA04301","BWA04301","1"
"2505","BWA04302","BWA04302","1"
"2506","BWA04303","BWA04303","1"
"2549","BWA04304","BWA04304","1"
"2550","BWA04305","BWA04305","1"
"2553","BWA04309","BWA04309","1"
"2555","BWA04311","BWA04311","1"
"2556","BWA04313","BWA04313","1"
"2558","BWA04319","BWA04319","1"
"449","CAF09661","CAF09661","1"
"2868","CAF09662","CAF09662","1"
"454","CAF09663","CAF09663","1"
"453","CAF09665","CAF09665","1"
"2855","CAF09666","CAF09666","1"
"2869","CAF09667","CAF09667","1"
"2856","CAF09668","CAF09668","1"
"2854","CAF09669","CAF09669","1"
"2870","CAF09670","CAF09670","1"
"2853","CAF09671","CAF09671","1"
"2859","CAF09672","CAF09672","1"
"2862","CAF09673","CAF09673","1"
"2857","CAF09674","CAF09674","1"
"2858","CAF09675","CAF09675","1"
"2863","CAF09676","CAF09676","1"
"2512","CAF09677","CAF09677","1"
"2861","CAF09678","CAF09678","1"
"2860","CAF09679","CAF09679","1"
"448","CAF09681","CAF09681","1"
"455","CAF09682","CAF09682","1"
