"292","BDI06404","mansoni_low_burden"
"296","RWA38141","mansoni_low_burden"
"300","BDI06401","mansoni_low_burden"
"301","BDI06409","mansoni_low_burden"
"305","BDI06386","mansoni_low_burden"
"310","BDI06408","mansoni_low_burden"
"314","BDI06419","mansoni_low_burden"
"318","MWI28949","mansoni_low_burden"
"319","MWI28955","mansoni_low_burden"
"320","MWI28952","mansoni_low_burden"
"325","MWI28964","mansoni_low_burden"
"328","MWI28966","mansoni_low_burden"
"330","MWI28971","mansoni_low_burden"
"335","MWI28951","mansoni_low_burden"
"337","MWI28969","mansoni_low_burden"
"339","MWI28963","mansoni_low_burden"
"340","MWI28959","mansoni_low_burden"
"341","MWI28958","mansoni_low_burden"
"344","KEN54039","mansoni_low_burden"
"345","SLE42267","mansoni_low_burden"
"347","CAF09664","mansoni_low_burden"
"348","CAF09688","mansoni_low_burden"
"351","KEN54046","mansoni_low_burden"
"352","KEN54087","mansoni_low_burden"
"353","KEN54253","mansoni_low_burden"
"359","KEN54110","mansoni_low_burden"
"362","KEN54243","mansoni_low_burden"
"363","KEN54023","mansoni_low_burden"
"366","KEN54244","mansoni_low_burden"
"367","ZWE52926","mansoni_low_burden"
"369","KEN54112","mansoni_low_burden"
"371","KEN54107","mansoni_low_burden"
"372","KEN54038","mansoni_low_burden"
"373","KEN54168","mansoni_low_burden"
"374","KEN54139","mansoni_low_burden"
"375","KEN54118","mansoni_low_burden"
"382","ZWE52961","mansoni_low_burden"
"383","ZWE52910","mansoni_low_burden"
"384","ZWE52935","mansoni_low_burden"
"385","ZWE52902","mansoni_low_burden"
"386","ZWE52907","mansoni_low_burden"
"388","ZWE52905","mansoni_low_burden"
"390","ZWE52921","mansoni_low_burden"
"395","KEN54042","mansoni_low_burden"
"396","CIV15443","mansoni_low_burden"
"400","SLE42268","mansoni_low_burden"
"402","ZWE52903","mansoni_low_burden"
"403","ZWE52922","mansoni_low_burden"
"404","ZWE52929","mansoni_low_burden"
"408","KEN54125","mansoni_low_burden"
"409","KEN54044","mansoni_low_burden"
"410","ETH19494","mansoni_low_burden"
"411","ETH19480","mansoni_low_burden"
"412","TGO48709","mansoni_low_burden"
"416","CIV15419","mansoni_low_burden"
"419","CIV15414","mansoni_low_burden"
"420","CIV15412","mansoni_low_burden"
"421","CIV15413","mansoni_low_burden"
"422","CIV15429","mansoni_low_burden"
"423","CIV15430","mansoni_low_burden"
"426","CIV15435","mansoni_low_burden"
"427","CIV15436","mansoni_low_burden"
"428","CIV15446","mansoni_low_burden"
"430","CIV15448","mansoni_low_burden"
"431","CIV15449","mansoni_low_burden"
"434","CIV15464","mansoni_low_burden"
"439","CIV15428","mansoni_low_burden"
"440","CIV15460","mansoni_low_burden"
"447","CIV15444","mansoni_low_burden"
"456","CAF09692","mansoni_low_burden"
"457","CAF09680","mansoni_low_burden"
"458","CAF09691","mansoni_low_burden"
"459","CAF09687","mansoni_low_burden"
"460","CAF09690","mansoni_low_burden"
"464","MLI30035","mansoni_low_burden"
"465","TCD10769","mansoni_low_burden"
"466","ETH19386","mansoni_low_burden"
"467","ETH19466","mansoni_low_burden"
"468","ETH19450","mansoni_low_burden"
"470","KEN54048","mansoni_low_burden"
"471","ZWE52931","mansoni_low_burden"
"475","ZWE52911","mansoni_low_burden"
"476","ZWE52924","mansoni_low_burden"
"477","ZWE52939","mansoni_low_burden"
"478","ZWE52940","mansoni_low_burden"
"479","ZWE52948","mansoni_low_burden"
"483","ETH19368","mansoni_low_burden"
"484","ETH19469","mansoni_low_burden"
"490","ZWE52942","mansoni_low_burden"
"497","ZWE52941","mansoni_low_burden"
"501","TGO48694","mansoni_low_burden"
"504","TGO48683","mansoni_low_burden"
"505","TGO48691","mansoni_low_burden"
"507","TGO48696","mansoni_low_burden"
"510","TGO48689","mansoni_low_burden"
"511","TGO48698","mansoni_low_burden"
"512","TGO48690","mansoni_low_burden"
"517","GHA21427","mansoni_low_burden"
"519","SEN40199","mansoni_low_burden"
"520","GHA21483","mansoni_low_burden"
"521","GHA21484","mansoni_low_burden"
"524","GHA21598","mansoni_low_burden"
"526","COD13896","mansoni_low_burden"
"527","NGA36924","mansoni_low_burden"
"528","GHA21573","mansoni_low_burden"
"530","GHA21441","mansoni_low_burden"
"531","COD13879","mansoni_low_burden"
"538","GHA21571","mansoni_low_burden"
"540","NGA36915","mansoni_low_burden"
"542","ETH18666","mansoni_low_burden"
"543","GHA21453","mansoni_low_burden"
"545","AGO02201","mansoni_low_burden"
"546","SEN40223","mansoni_low_burden"
